label,title,abstract,doi,notes_i
ref_064,Bioeconomy imaginaries: A review of forest-related social science literature,"This review article examines how social science literature co-produces various imaginaries of forest-based bioeconomy transformations and pathways for reaching desired ends. Based on an analysis of 59 research articles, we find that despite a growing number of social sciences studies on the forest-based bioeconomy, much of the research tends to replicate a bioeconomy imaginary articulated in EU and national bioeconomy policies and strategies. Accordingly, the research primarily reproduces a weak approach to sustainability, which prioritize economic growth and competitiveness. Expectations are largely directed at national and regional corporate interests and forest industrial renewal, while the state has a supportive rather than restricting role. We discuss the findings against the role of social sciences, and conclude that social science scholars may adopt various strategies if interested in opening up forest-based policy debates and offer alternative imaginaries of sustainable bioeconomy transformations. © 2020, The Author(s).",10.1007/s13280-020-01398-6,Critics on Circular economy
ref_066,Message framing strategies for effective marine conservation communication,"1.Human activities are a major source of threat to marine ecosystems. Solutions thus require changes to or cessation of those activities in addition to multiple restorative and conservation efforts – all of which, in turn, require public support for success. However, scientific understanding of threats to marine ecosystems has not paralleled public understanding of those threats in many jurisdictions. Highly complex, interwoven, distant, vulnerable to multiple stressors, and hosting biota that are biologically unfamiliar to people, marine ecosystems present unique communication challenges. 2.The merits of effective communication capable of motivating behavioural change, policy action and support for marine conservation are often emphasized. To date, however, environmental communication, as a field, has largely focused on terrestrial ecosystems and more recently on climate change, leaving research-informed marine conservation communication neglected. 3.Adding to the small compilation of marine conservation communication literature, this integrative review provides a new understanding of how six message frames (emotional, problem/solution, outcome, value-based, distance, and social norm) can interactively help enhance the effectuality of conservation messages. Insights from the framing-related literature are merged with those from relevant fields including the theoretical literature, and the behavioural, social, and environmental sciences to define concepts, provide examples and explain the relevance of the six identified frames. The potential strength of these frames are discussed and suggestions on how they might be used to communicate different marine conservation issues are provided. © 2020 John Wiley & Sons, Ltd.",10.1002/aqc.3349,"Maybe
Interesante para comm?"
ref_067,Basic principles for development and implementation of plastic clean-up technologies: What can we learn from fisheries management?,"Plastic pollution compromises ocean health, with large amounts of plastics continuing to enter marine and coastal environments. Various mitigative engineering solutions are being developed and implemented in response to this threat. While recognising the positive impacts of clean-ups, we highlight two perspectives given little attention to date, which are vital to evaluating the cost-benefit ratio of clean-ups: firstly, clean-up efficiency where density and accessibility of litter are key, and secondly, potential negative externalities that implementation of clean-up technologies may have. These principles, catch per unit effort and the impact on non-target species, are well known from fisheries management. We argue they should also be applied in evaluating marine litter removal schemes. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.141117,Plastic and marine impacts?
ref_070,"Environmental knowledge, risk attitude, and households' willingness to accept compensation for the application of degradable agricultural mulch film: Evidence from rural China","The promotion and use of degradable agricultural mulch film are satisfactory means to realize the pollution control of agricultural mulch film. Today, when the cost of degradable agricultural mulch film is much higher than that of ordinary agricultural mulch film, appropriate policy tools must be identified. However, relevant research is relatively rare. This paper attempts to understand the acceptability of households of policy tools by investigating households' willingness to apply degradable agricultural mulch film to reduce agricultural mulch film pollution and their requirements for compensation proportion, to make this sector cleaner and pay more attention to the implementation of sustainability principles. The sample is five cities in Hubei province, China; the study is based on extended planned behavior (TPB) theory; and we use the double-hurdle model to analyze “whether to accept compensation” and “proportion of compensation” of households. The main results show that the more households know about policies, the higher the proportion of compensation required. However, households with high knowledge of ecological value are willing to adopt degradable agricultural mulch films even if the government provides less compensation. In addition, risk-biased households are willing to voluntarily bear more additional costs of degradable agricultural mulch films. The results obtained have multiple meanings. First, in today's rural areas of China, compared with the formal government regulations, informal regulations are the key factors to promote degradable agricultural mulch films application. Second, the enhancement of the understanding of the knowledge of ecological value can effectively improve households' consciousness of using degradable agricultural mulch film. Third, to realize the sustainability of policies, households' risk attitude must be strengthened. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.140616,Extended Theory of Planned Behaviour in Acceptance of the change of plastic films
ref_075,"The impact of tourism on marine litter pollution on Santa Marta beaches, Colombian Caribbean","Tourism is an important socioeconomic activity in coastal communities, which deteriorates marine-coastal ecosystem quality when poorly managed, increasing litter pollution on beaches during the main tourist seasons. This study aims to assess the tourism impact on litter pollution on eleven Santa Marta beaches, Colombian Caribbean. During high and low tourist seasons, people on the beaches were counted, macrolitter and microplastics were sampled, and perception surveys about litter on beaches were conducted. During the high tourist season, the number of people and macrolitter pollution increased, compared to the low tourist season. Plastics accounted for 30%–77% of macrolitter and microplastics ranged from 1 to 355 items/m2. Respondents identified tourism as a main litter source and plastics as the most common litter type. All assessed beaches are impacted by tourism causing litter pollution, therefore, stronger controls, educational, and awareness strategies are needed to reduce litter pollution and prevent ecological and socioeconomic impacts. © 2020 Elsevier Ltd",10.1016/j.marpolbul.2020.111558,Plasticos marinos en COlombia
ref_076,The impacts of polyethylene terephthalate microplastics (mPETs) on ecosystem functionality in marine sediment,"The effects of microplastics (MPs) on the ecological functioning in marine sediments is largely unknown. However, coastal marine sediments and their resident communities play critical roles in the transformation of organic matter and the cycling of nutrients that influence both local and global processes. To investigate how microplastics influence ecosystem functions associated with sediment biogeochemistry, large bivalves and microphytobenthos, we conducted a 31-day laboratory experiment. The experiment tested the role of micro-polyethylene terephthalate (mPETs) at five concentrations (0%, 1%, 3%, 6%, and 8% based on wet weight of top 1 cm sediment). Canonical principle of coordinate analysis (CAP) was applied to assess change on the ecosystem functionality with increasing concentrations of mPETs. Our results highlight that stress effects on ecosystem function are the product of the interaction between Macomona liliana, microphytobenthos and mPETs. © 2020 Elsevier Ltd",10.1016/j.marpolbul.2020.111624,NA
ref_078,Reviewing environmental life cycle impacts of biobased polymers: current trends and methodological challenges,"Purpose: The aim of this review is to evaluate previous life cycle assessment (LCA) studies of first- and second-generation bioplastics, to understand the state of the art and the main problems addressed during the development of new bioplastics. Furthermore, it provides an overview on land use change (LUC) impacts accounted for, methodologies chosen, and the results obtained. Methods: Studies related to the impact assessment of bioplastics and published between 2007 and 2018 were gathered. Five keyword strings were used to perform a wide search and select relevant LCA studies. The study aimed to analyze critical methodological aspects in LCA, in order to determine the most common choices made during biobased material analyses, as well as major limitations. Three filters were applied to select comparable studies, ending with a final number of 17 papers. Recommendations were obtained by comparing common practices performed by different authors with suggested best available practices mentioned in handbooks and guidelines. Interestingly, LUC metrics and impacts were, most of the time, neglected. Thus, a specific assessment and discussion was performed regarding the methods used to quantify LUC impacts, considering its importance during the production of biobased materials. Results and discussion: The study discussed the main environmental problems linked to the development of new biomaterials. LCA of agricultural products or systems, when compared with fossil-based counterparts, is expected to show higher environmental impacts in categories directly affected by fertilizer use, occupied and transformed land, among others. Thus, studies that included additional impact categories besides global warming (e.g., eutrophication or acidification) concluded that biobased materials present higher impacts, recommending improvements in farming practices to improve their overall environmental profile. Moreover, this review gathered methodologies used to account for LUC impacts and the results obtained. The main constraint of including LUC impacts was the lack of a standardized methodology, as well as large uncertainties in existing methodologies. Conclusions: Most studies concluded that improvements in farming practices might reduce the attributed environmental impacts with the reduction of the amount of land, fertilizer, pesticides, and water used. Studies computing LUC impacts agreed on the importance of including these impacts and concluded that greenhouse gas emissions of bioplastic production would increase, but in most cases would still be lower than the impact of their fossil-based counterparts. However, challenges remain when computing LUC impacts that need to be tackled when working with the available methodologies, including the collection of reliable inventory data (site-specific or regional data) and regionalized characterization factors. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",10.1007/s11367-020-01829-2,NA
ref_079,"Microplastics contamination in the soil from Urban Landfill site, Dhaka, Bangladesh","Microplastic contamination; Soil; Microplastic identification; FT-IR; Stereomicroscope; Materials science; Chemistry; Agricultural science; Environmental science; Earth sciences © 2020 The Author(s)Microplastics (MP) pollution has become a matter of global concern because of its several deleterious effects on environmental health, especially on the terrestrial environment. The evidence of MP contamination in terrestrial environment is less explored compared to aquatic bodies. However, in Bangladesh despite having high possibility of MP contamination, there is lacking of available research-based evidence. Urban areas soil is subjected to act as a major environmental reservoir for MPs. Thus, this study was carried out to investigate the presence of MP contamination in constructed landfill sites near Dhaka city, Bangladesh. Ten unmixed soil samples were collected from the Aminbazar Sanitary landfill sites, from that thirty replicated samples were investigated via Fourier Transform Infrared Spectroscopy (FT-IR) analysis and Stereomicroscope. The range of physicochemical parameters were found in the soil samples as follows: moisture content; 15.84%–56.54%; soil pH; 5.76–6.02, electric conductivity; 0.1 μs/cm - 2.43 μs/cm, alkalinity; 6.7 ± 1.528–14.33 ± 0.577, TOC; 0.18% ± 0.02–1.09 ± 0.03. Among the ten samples, 3 samples were identified to have the presence of MP in the form of Low density polyethylene (LDPE), High density polyethylene (HDPE), and Cellulose acetate (CA) respectively. The detection limit ranged from 1 – 2000 μm. Hence, the results show that the procurement and discharge of MPs in the landfills is an overlong process. The results of this study provide an initial evidence and affirm that landfill can be a potential source of MPs. This study indicates that MPs are comparatively overlong outcome of human induced activities which can significantly cause changes in terrestrial ecosystems. © 2020 The Author(s)",10.1016/j.heliyon.2020.e05572,microsplastics
ref_082,What lies behind teaching and learning green chemistry to promote sustainability education? A literature review,"In this qualitative study, we aim to identify suitable pedagogical approaches to teaching and learning green chemistry among college students and preservice teachers by examining the teaching methods that have been used to promote green chemistry education (GCE) and how these methods have supported green chemistry learning (GCL). We found 45 articles published in peerreviewed scientific journals since 2000 that specifically described teaching methods for GCE. The content of the articles was analyzed based on the categories of the teaching methods used and the revised version of Bloom’s taxonomy. Among the selected articles, collaborative and interdisciplinary learning, and problem-based learning were utilized in 38 and 35 articles, respectively. These were the most frequently used teaching methods, alongside a general combination of multiple teaching methods and teacher presentations. Developing collaborative and interdisciplinary learning skills, techniques for increasing environmental awareness, problemcentered learning skills, and systems thinking skills featuring the teaching methods were seen to promote GCL in 44, 40, 34, and 29 articles, respectively. The results showed that the integration of green chemistry teaching (GCT), e.g., with sustainable education, promoted GCL by fostering environmental consciousness and behavioral change and cognitive processes in a sustainable direction. © 2020, MDPI AG. All rights reserved.",10.3390/ijerph17217876,sustainability education
ref_083,"E-waste in India at a glance: Current trends, regulations, challenges and management strategies","Electronic waste is a secondary source of valuable and precious metals. In recent trends, urban mining of these metals has received significant attention due to its profitable prospects, extended business opportunity, source of livelihood and ultimately achieving agenda for Sustainable Development Goals (SDGs) 2030. At the same time, the significant E-waste turns out to be an overwhelming challenge due to the presence of toxic chemical substances. The colossal E-waste generation has created multi-dimensional challenges over existing treatment options with its deleterious impacts on human health and environment. Most of the developed countries are having potential E-waste management technologies, technical knowhow and well-established system boundary. However, the case is not the same with the developing countries due to several challenges and lack of relevant strategies. Lack of data inventorization, illegal dumping, and non-availability of treatment options are the major challenges affecting the entire E-waste value chain in India. Hence, this paper deals with the strategic interventions conforming existing regulations which are crucial for a sustainable E-waste value chain, secured resources, societal well-being, reduced environmental impacts and overall sustainable development. Furthermore, relevant strategies i.e., eco-product design, circular resource management, extended producer responsibility, polluter pays’ principle, life cycle assessment, 4R principle and bioleaching were identified and discussed as a future direction for Indian context. Formalizing the informal sector into a transparent recycling system is crucial which is highly recommended. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.122707,NA
ref_084,"Past, present, and prospective themes of sustainable agricultural supply chains: A content analysis","Sustainable supply chain management has been a topic of high interest to scholars and practitioners over the last 30 years. Accordingly, many review papers have been published on this topic with various areas of focus. Nevertheless, the overall body of literature still lacks a systematic review that thoroughly explores sustainability-driven decisions in the agriculture sector. To fill this research gap, the present paper presents an extensive review of 247 quantitative studies on sustainable agricultural supply chains. Our review scope includes both crop-based and livestock sectors that are monitored by eco-social corporate initiatives or government sustainability-driven legislation. To do so, we employ a content analysis-based review method, which is well known as an effective means of conducting literature reviews in a transparent, systematic, and rule-governed way, to rigorously collect, filter, and classify the existing research context. We classify the collected materials based on different structural dimensions and related analytic categories, which are obtained from both deductive and inductive categorization techniques. More specifically, we thoroughly evaluate the review results from four research perspectives – agricultural planning, supply chain management, sustainability development, and modeling methodology – aiming at presenting an overview of quantitative research projects. We conclude this study with a detailed discussion on evolving and promising research streams along with future research directions, which could be used as a roadmap by future researchers. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.122201,Agricultural research
ref_085,The marine plastic litter issue: A social-economic analysis,"The issue of marine plastic litter pollution is multifaceted, cross-sectoral, and ongoing in the absence of appropriate management measures. This study analysed the issue of marine plastic litter pollution in the context of the Descriptor 10 of the Marine Strategy Framework Directive and Good Environmental Status of the oceans and seas. The Driver-Pressure-State-Impact-Response (DPSIR) framework was used to assess the causes, effects, and management measures to changes in the marine environment resulting from marine plastics pollution. We noted that less than 10 peer-reviewed publications have applied the Driver-Pressure-State-Impact-Response (DPSIR) model to the issue of marine plastics pollution. Some basic needs such as food security, movement of goods and services, and shelter are also some of the major drivers of marine plastic pollution. The use of plastics is linked to multiple economic sectors (fisheries, agriculture, transport, packaging, construction) and other human activities. A significant amount of the resulting pressures came from the economic sectors for packaging and construction. State changes occurred at the environmental (contamination and bioaccumulation), ecosystem (ingestion of plastics, ghost fishing) and ecosystem service levels (supply of sea food, salt and cultural benefits), with possible loss of jobs and income being some of the observed impacts on human welfare. Responses as management measures, which are tailored to meet each component of the DPSIR framework, were identified. These included policies, regulations, technological advancement and behavioural change. The research acknowledges the issue of marine plastics pollution as a global environmental problem and recommends a trans-disciplinary approach, involving all types of stakeholders. Future research and analysis applying the DPSIR framework will be useful to provide the information necessary for the effective, adaptive management of litter pollution by marine plastics. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/su12208677,Maybe Global Issues
ref_089,Environmental and health impacts due to e-waste disposal in China – A review,"E-waste is discarded and shipped mostly to developing countries located in Asian continent for disposal from other developed countries. Especially 70% of the world's e-waste ends up in Guiyu, a small town located in Guangdong Province of China. As little as 25% is recycled in formal recycling centers with adequate protection for workers and the other e-waste arrived in those areas is not handled in organized manner. As per reports only roughly 12.5% of e-waste is actually recycled, and the recycling efforts in those regions are primitive and result in toxic substances being leached into the surrounding ecosystems. In addition to persistent organic pollutants, there are many heavy metals found in the ground and river sediments in Guiyu, exceeding the threshold set to protect human health. Those areas are no longer suitable for growing food, and water is unsafe for drinking, due to the amount of toxins leached into the groundwater and land. Hazardous threats to environment and human health due to hazardous substances of e-waste all around China, as well as the current e-waste management were documented in this review. The article concludes with controlled contamination sources, and eco-friendly and efficient remediation technologies to solve e-waste problem in China. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.139745,Health of contamination?
ref_091,Geographic Information System and Big Spatial Data: A Review and Challenges,"Geographic information system (GIS) is designed to generate maps, manage spatial datasets, perform sophisticated “what if” spatial analyses, visualize multiple spatial datasets simultaneously, and solve location-based queries. The impact of big data is in every industry, including the GIS. The location-based big data also known as big spatial data has significant implications as it forces the industry to contemplate how to acquire and leverage spatial information. In this study, a comprehensive taxonomy is created to provide a better understanding of the uses of GIS and big spatial data. The taxonomy is made up of big data technologies, GIS data sources, tools, analytics, and applications. The authors look into the importance of big spatial data and its implications, review the data sources, and GIS analytics, applications, and GIS tools. Furthermore, in order to guide researchers interested in GIS, the challenges that require substantial research efforts are taken into account. Lastly, open issues in GIS that require further observation are summarized. Copyright © 2020, IGI Global.",10.4018/IJEIS.2020100106,Data visualization of geography information
ref_095,Motivations for Environmental Alliances: Generating and Internalizing Environmental and Knowledge Value,"Environmental alliances are a common response to societal sustainability demands. In environmental alliances, firms collaboratively exploit and explore environmental technologies to address market opportunities while simultaneously generating positive environmental impacts. A striking idiosyncrasy is that in addition to economic value, environmental alliances generate two types of external value: environmental value from positive effects on air, water, land and biodiversity, and knowledge value from innovations in environmental technologies. Research on motivations for environmental alliances is dispersed and underdeveloped compared to the well-established literature on motivations for strategic alliances that emphasize economic value. This study therefore develops a classification of motivations for environmental alliances by combining the literature on strategic alliances and that on environmental and knowledge value. The resulting classification includes motivations for environmental alliances to generate environmental and knowledge value as well as motivations to create economic value by internalizing environmental and knowledge value. A systematic review of 123 articles on environmental inter-firm alliances identifies specific motivations to populate the new classification. We show that alliance partners are motivated to share sustainable resources, reduce sustainability risk, respond to stakeholders or invest in specific sustainable assets to generate external value. They collaborate to reduce costs or enhance competitive advantage, reputation or legitimacy to internalize external value. The resource-based view, resource-dependence view, institutional theory and transaction cost economics have not previously distinguished between motivations to generate and internalize external value. We extend their area of application from strategic alliances to environmental alliances, and thus beyond the exclusive pursuit of economic value. © 2020 The Authors. International Journal of Management Reviews published by British Academy of Management and John Wiley & Sons Ltd",10.1111/ijmr.12228,alliances in sust
ref_098,Prediction of future carbon footprint and ecosystem service value of carbon sequestration response to nitrogen fertilizer rates in rice production,"There is concern for variations of the carbon footprint (CF) and ecosystem service value of carbon sequestration (ESVCS) related to nitrogen (N) fertilizer rate in rice production under future climate change. To explore possible future ecological effects of N fertilizer rate, a DeNitrification–DeComposition (DNDC) model combined with Representative Concentration Pathway (RCP) projections (RCP 4.5 and RCP 8.5) were used to predict the CF and ESVCS of rice production. The model was validated by a two-year field experiment, and then seven N fertilizer levels (0, 75, 150, 190, 225, 300, and 375 kg N/ha) were set for prediction from 2015 to 2050. The validation results indicated a good fit between the DNDC-simulated and observed data of GHG emission and rice yield. Under RCP 8.5, the mean CF was 4.5–8.7% higher and the average ESVCS was 3.6–7.4% lower than those under RCP 4.5. The effects of N fertilizer rate on CF and ESVCS were consistent between the two climate change scenarios. In both RCPs, it was found that CF and ESVCS were mainly influenced by N fertilizer rate due to the latter's effect on CH4 emissions and crop carbon fixation. CH4 was the main contributor to CF during 2015–2050, accounting for 43.9–58.3% of the total CF. Agricultural inputs were also large contributors to CF, and N fertilizer increased the indirect GHG emissions by 24.6–122.2% compared with no N fertilization treatment. Among the studied N fertilizer rates, 190 kg N/ha was the optimal rate, obtaining the lowest CF and highest ESVCS. These results indicate that, under future climate change, an N fertilizer rate of 190 kg N/ha could achieve a trade-off between high yield, reduction of CF, and improvement of ESVCS in rice production. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.139506,ecosystem service example
ref_099,"Nature-based solutions as enablers of circularity in water systems: A review on assessment methodologies, tools and indicators","Water has been pushed into a linear model, which is increasingly acknowledged of causing cumulative emissions of pollutants, waste stocks, and impacting on the irreversible deterioration of water and other resources. Moving towards a circular model in the water sector, the configuration of future water infrastructure changes through the integration of grey and green infrastructure, forming Nature-based Solutions (NBS) as an integral component that connects human-managed to nature-managed water systems. In this study, a thorough appraisal of the latest literature is conducted, providing an overview of the existing tools, methodologies and indicators that have been used to assess NBS for water management, as well as complete water systems considering the need of assessing both anthropogenic and natural elements. Furthermore, facilitators and barriers with respect to existing policies and regulations on NBS and circularity have been identified. The study concludes that the co-benefits of NBS for water management are not adequately assessed. A holistic methodology assessing complete water systems from a circularity perspective is still needed integrating existing tools (i.e. hydro-biogeochemical models), methods (i.e. MFA-based and LCA) and incorporating existing and/or newly-developed indicators. © 2020 The Authors",10.1016/j.watres.2020.115988,"nature based solutions
aceptado por curiosidad"
ref_100,Increasing plant diversity offsets the influence of coarse sand on ecosystem services in microcosms of constructed wetlands,"As wastewater treatment systems that strengthen natural processes, constructed wetlands provide both ecosystem services and disservices. Manipulating both the physical and ecological structures of constructed wetlands has been the key to improve ecosystem services while reducing disservices. Herein, an experiment using simulated constructed wetlands was conducted to explore the effect of two different substrate sizes (fine sand or coarse sand), plant richness (1, 3, or 4 species), and plant species identity on ecosystem services. Results indicated that (1) only in microcosms with coarse sand, species richness enhanced nitrogen removal efficiency while reduced nitrous oxide emissions and that (2) the presence of Phalaris arundinacea increased nitrogen removal rate, and the presence of Rumex japonicus or Oenanthe javanica decreased nitrous oxide emissions; (3) however, the net ecosystem services (nitrogen removal, greenhouse gas emissions, biofuel production) of microcosms with fine sand were higher than those of microcosms with coarse sand, and (4) interestingly, there was no difference in net ecosystem services between microcosms with coarse sand (1033 yuan ha−1 day−1; 1 yuan ≈ 0.14 USD) and those with fine sand (1071 yuan ha−1 day−1) for the four-species mixtures. Hence, in practice, ensuring plant species richness with appropriate species in microcosms with coarse sand can improve ecosystem services to a level equal to that of microcosms with fine sand and help to prevent constructed wetlands from clogging. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",10.1007/s11356-020-09592-5,ecosystems services example?
ref_104,Circular economy and economic development in the European Union: A review and bibliometric analysis,"Increased changes in the climate and ecosystems call for a sustainable economic development, where economic growth should be compatible with the environment goals. In order to do this, it is urgent to find new ways of life and new production systems that make our ecological footprint compatible with global sustainability. The concept of the circular economy has brought relevant contributions to this problem. The central objective of the study presented here is to highlight the main insights presented through scientific literature about the concept of the circular economy within the European Union. In practice, the intention is to show what has already been done about this topic and what can/should be implemented in the future. To achieve these objectives, 144 articles were considered from the Web of Science (Core Collection) for the topics ""circular economy"" and ""European Union"". These documents were, firstly, analysed through a proper literature review and later explored through bibliometric analysis, considering bibliographic data and the VOSviewer software. As the main findings have revealed, the increased importance of this concept within the European Union is recognized. However, this paper also identifies several challenges in the literature, namely the concentration of the identified publications in certain countries, organizations, and authors. © 2020 by the authors.",10.3390/SU12187767,Circular Economy atheory
ref_109,Greening the browns: A bio-based land use framework for analysing the potential of urban brownfields in an urban circular economy,"The Circular Economy (CE) is expected to accelerate the use of resources with bio-based origin. Cities have an important role in such an economy, not only as main consumers but also because vegetation provides numerous ecosystem services essential for the well-being of urban dwellers. Urban lands are, however, heavily burdened with both past and present activities and ongoing urbanization. Retrofitting obsolete and potentially contaminated brownfields provides an opportunity to engage with bio-based land uses within the city. At the same time, plants are an important part of Gentle Remediation Options (GROs), a more sustainable alternative for managing contamination risks and restoring soil health. This paper (1) provides a tentative selection of Urban Greenspaces (UGSs) relevant for brownfields, and a compilation of ecosystem services provided by the selected UGSs, and (2) presents a framework covering the 14 selected bio-based land uses on brownfields, including GRO interventions over time. This framework provides three practical tools: the conceptualization of linkages between GROs and prospective UGS uses, a scatter diagram for the realization of 14 UGS opportunities on brownfields, and a decision matrix to analyze the requirements for UGS realization on brownfields. © 2020 by the authors.",10.3390/SU12156278,NA
ref_111,Plastic pollution in the marine environment,"Plastic pollution is recognized as a severe anthropogenic issue in the coastal and marine ecosystems across the world. Unprecedented and continuous accumulation of growing plastic contaminants into any respective aquatic ecosystem by the anthropogenic sources causes direct and/or indirect interruption to ecosystem structure, functions, and consequently, services and values. Land-based and sea-based sources are the primary sources of these contaminants in various modes that enter the ocean. In this review paper, we focused on highlighting different aspects related to plastic pollution in coastal and marine environments. Plastic pollutants are distributed in the ecosystems in different forms, with different size variations as megaplastic, macroplastic, mesoplastic, and microplastic. Microplastics in primary and secondary forms reveal a widespread distribution in the water, sediment, and biota of the marine and coastal habitats. The microplastic level of different coastal and marine ecosystems nearly ranged from 0.001-140 particles/m3 in water and 0.2-8766 particles/m3 in sediments at different aquatic environments over the world. The microplastic accumulation rate of coastal and marine organisms varied at 0.1-15,033 counts. Accordingly, plastic pollution creates several kinds of negative consequences combined with ecological and socio-economic effects. Entanglement, toxicological effects via ingestion of plastics, suffocation, starvation, dispersal, and rafting of organisms, provision of new habitats, and introduction of invasive species are significant ecological effects with growing threats to biodiversity and trophic relationships. Degradation (changes in the ecosystem state) and modifications of marine systems are associated with loss of ecosystem services and values. Consequently, this emerging contaminant affects the socio-economic aspects through negative impacts on tourism, fishery, shipping, and human health. Preventing accumulation sources of plastic pollutants, 3Rs (Reduce-Recycle-Reuse), awareness &amp; capacity building, and producer/manufacturer responsibility are practical approaches toward addressing the issue of plastic pollution. Existing and adopted policies, legislations, regulations, and initiatives at global, regional, and national level play a vital role in reducing plastic debris in the marine and coastal zones. Development of proposals/solutions on key research gaps can open a novel pathway to address this environmental issue in an effective scientific manner. In conclusion, this paper demonstrates the current status of plastic pollution in the marine ecosystem to make aware people of a plastic-free, healthy blue ocean in the near future. © 2020 The Author(s)",10.1016/j.heliyon.2020.e04709,Plastic pollution literature
ref_112,Consumer-based actions to reduce plastic pollution in rivers: A multi-criteria decision analysis approach,"The use and management of single use plastics is a major area of concern for the public, regulatory and business worlds. Focusing on the most commonly occurring consumer plastic items present in European freshwater environments, we identified and evaluated consumer-based actions with respect to their direct or indirect potential to reduce macroplastic pollution in freshwater environments. As the main end users of these items, concerned consumers are faced with a bewildering array of choices to reduce their plastics footprint, notably through recycling or using reusable items. Using a Multi-Criteria Decision Analysis approach, we explored the effectiveness of 27 plastic reduction actions with respect to their feasibility, economic impacts, environmental impacts, unintended social/environmental impacts, potential scale of change and evidence of impact. The top ranked consumer-based actions were identified as: using wooden or reusable cutlery; switching to reusable water bottles; using wooden or reusable stirrers; using plastic free cotton-buds; and using refill detergent/ shampoo bottles. We examined the feasibility of top-ranked actions using a SWOT analysis (Strengths, Weaknesses, Opportunities and Threats) to explore the complexities inherent in their implementation for consumers, businesses, and government to reduce the presence of plastic in the environment. © 2020 Marazzi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",10.1371/journal.pone.0236410,NA
ref_118,The world on fire: A buddhist response to the environmental crisis,"This paper identifies and responds to the four main objections raised against Buddhist environmentalism. It argues that none of these objections is insurmountable and that, in fact, Buddhists have developed numerous concepts, arguments, and practices which could prove useful for dealing with the most pressing environmental problems we have created. Buddhism is sometimes described by its critics as too detached from worldly concerns to respond to the environmental crisis but the successes of Engaged Buddhism demonstrate otherwise. Although halting climate change will require inter-governmental co-operation and immediate action, we should not underestimate the necessity of grassroots movements for achieving lasting change in our attitudes and behaviours. If meditation can awaken us to the fact of ecological inter-connectedness and to the ultimate drivers of climate change (e.g., greediness and a misplaced sense of entitlement) it can also help us reconnect with nature and expand our circle of moral concern to include plants, animals, and the wider environment. © 2020 by the author. Licensee MDPI, Basel, Switzerland.",10.3390/rel11080381,Budhism?
ref_120,Restorative and regenerative: Exploring the concepts in the circular economy,"The most recognized definition of the circular economy is that it is a restorative and regenerative economy. Despite the wide use and importance attributed to the concepts of “restoration” and “regeneration,” they are rarely defined or explained in the circular economy literature. In this context, this study critically examines the two terms, while providing guidance on their future utilization and development. Specifically, the study investigates the origin of the concepts, their adoption in frameworks that anticipated the idea of the circular economy, and their connotations in the circular economy literature. The examination supports the need for clear and distinct definitions, combined with precision in usage. From a review of the literature, restoration is a better-defined concept than regeneration, although it needs conceptual re-enforcement relative to the biological/ecological aspects of the circular economy. This study suggests looking in the direction of restoration ecology, a well-established branch of ecological research. Conversely, regeneration is a symbolic/evocative term with little practical application in the context of circular systems except in the case of certain agricultural practices. Until new conceptual developments intervene, regeneration does not seem to be applicable to the economy as a whole and because of this, might be abandoned as a guiding principle of the circular economy. Unlike regeneration, restoration can be considered a core principle because it has widespread application and can be a point of reference for circular applications. This does not preclude the possibility that other concepts may be needed to augment restoration. © 2020 The Authors. Journal of Industrial Ecology published by Wiley Periodicals, Inc. on behalf of Yale University",10.1111/jiec.12987,Circular economy regenerative
ref_122,Plastics as a materials system in a circular economy: Plastics in the Circular Economy,"Plastics have transformed our modern world. With a range of outstanding properties, they are used in an ever-widening range of applications. However, the linear economy of their use means that a large volume of plastics is discarded after use. It is believed that approximately 80% of the estimated total 6.3 Bt of plastics ever produced have been discarded, representing not only a huge loss of valuable resources, but mismanaged waste is also the origin of an ever-increasing environmental disaster. Strategies to prevent loss of materials resources and damage to the environment are elements of a circular plastics economy that aims to maintain plastics at their highest value for the longest time possible and at the same time improve the economy and prevent detrimental environmental impact. The latter in particular is driving recent changes in policies and legislation across the world that are rapidly being introduced in order to solve these environmental issues. The achievement of a circular economy will require not only innovative technical developments, but also major economic investment and changes to business practice coupled with significant changes in social behaviour. This paper summarizes the complex and highly interrelated technical issues and provides an overview of the major challenges, potential solutions and opportunities required to achieve and operate a circular plastics economy. This article is part of a discussion meeting issue 'Science to enable the circular economy'. © 2020 The Author(s).",10.1098/rsta.2019.0268,Plastics literature
