Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Baral A., Bakshi B.R.","12767301200;7004361932;","Emergy analysis using US economic input-output models with applications to life cycles of gasoline and corn ethanol",2010,"Ecological Modelling","221","15",,"1807","1818",,65,"10.1016/j.ecolmodel.2010.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954364673&doi=10.1016%2fj.ecolmodel.2010.04.010&partnerID=40&md5=fa2e2bf28a5d8bff11aeee1c65847363","The International Council on Clean Transportation, Washington, DC 20005, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH 43210, United States","Baral, A., The International Council on Clean Transportation, Washington, DC 20005, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH 43210, United States","A commonly encountered challenge in emergy analysis is the lack of transformity data for many economic products and services. To overcome this challenge, emergy analysts approximate the emergy input from the economy via a single emergy/money ratio for the country and the monetary price of economic inputs. This amounts toassuming homogeneity in the entire economy, and can introduce serious uncertainties in the results. This paper proposes and demonstrates the use of a thermodynamically augmented economic input-output model of the US economy for obtaining sector-specific emergy to money ratios that can be used instead of a single ratio. These ratios at the economy scale are more accurate than a single economy-wide emergy/money ratio, and can be obtained quickly for hundreds of economic products and services. Comparing sector-specific emergy/money ratios with those from conventional emergy studies indicates that the input-output model can provide reasonable estimates of transformities at least as a stop-gap measure until more detailed analysis is completed. A hybrid approach to emergy analysis is introduced and compared with conventional emergy analysis using life cycles of corn ethanol and gasoline as examples. Emergy and transformity data from the hybrid approach are similar to those from conventional emergy analysis, indicating the usefulness of the proposed approach. In addition, this work proposes the metric of return on emergy investment for assessing product alternatives with the same utility such as transportation fuels. The proposed approach and data may be used easily via web-based software. © 2010 Elsevier B.V.","Corn ethanol; Economic input-output modeling; Emergy; Gasoline; Life cycle assessment; Return on investment","Economics; Ethanol; Gasoline; Life cycle; Corn-ethanol; Emergy; Input output model; Life Cycle Assessment (LCA); Re-turn-on; Economic analysis; accuracy assessment; economic analysis; emergy; estimation method; ethanol; homogeneity; hybrid; life cycle analysis; numerical model; software; thermodynamics; uncertainty analysis; United States; Zea mays",Article,"Final","",Scopus,2-s2.0-77954364673
"Choi J.-K., Bakshi B.R., Haab T.","55940408700;7004361932;6602751606;","Effects of a carbon price in the U.S. on economic sectors, resource use, and emissions: An input-output approach",2010,"Energy Policy","38","7",,"3527","3536",,42,"10.1016/j.enpol.2010.02.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952400259&doi=10.1016%2fj.enpol.2010.02.029&partnerID=40&md5=6c444973d6421e1ff4186f2d0dc91f6f","Energy Sciences and Technology Department, Brookhaven National Laboratory, Upton, NY 11973, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 140 West 19th Ave., Columbus, OH 43210, United States; Department of Agricultural, Environmental and Development Economics, The Ohio State University, 2120 Fyffe Rd., Columbus, OH 43210, United States","Choi, J.-K., Energy Sciences and Technology Department, Brookhaven National Laboratory, Upton, NY 11973, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 140 West 19th Ave., Columbus, OH 43210, United States; Haab, T., Department of Agricultural, Environmental and Development Economics, The Ohio State University, 2120 Fyffe Rd., Columbus, OH 43210, United States","Despite differences in their implementation, most carbon policies aim to have similar outcomes: effectively raising the price of carbon-intensive products relative to non-carbon-intensive products. While it is possible to predict the simple broad-scale economic impacts of raising the price of carbon-intensive products-the demand for non-carbon-intensive products will increase-understanding the economic and environmental impacts of carbon policies throughout the life cycle of both types of products is more difficult. Using the example of a carbon tax, this study proposes a methodology that integrates short-term policy-induced consumer demand changes into the input-output framework to analyze the environmental and economic repercussions of a policy. Environmental repercussions include the direct and the indirect impacts on emissions, materials flow in the economy, and the reliance on various ecosystem goods and services. The approach combines economic data with data about physical flow of fossil fuels between sectors, consumption of natural resources and emissions from each sector. It applies several input-output modeling equations sequentially and uses various levels of aggregation/disaggregation. It is illustrated with the data for the 2002 U.S. economy and physical flows. The framework provides insight into the short-term complex interactions between carbon price and its economic and environmental effects. © 2010.","Carbon price; Input-output analysis; Resource consumption and emission","A-carbon; Aggregation/disaggregation; Carbon policy; Carbon price; Complex interaction; Consumer demands; Economic data; Economic sectors; Environmental effects; Input output analysis; Input-output; Input-output approach; Input-output modeling; Materials flow; Physical flow; Resource consumption; Resource use; Scale economics; Costs; Fossil fuels; Liquid metal cooled reactors; Statistics; Environmental impact; carbon emission; economic impact; energy market; energy policy; energy resource; energy use; fossil fuel; input-output analysis; pollution tax; United States",Article,"Final","",Scopus,2-s2.0-77952400259
"Lang L., Goel P.K., Bakshi B.R.","18133934200;13309362900;7004361932;","Prior checking and moving horizon smoothing for improved particle filtering",2010,"Industrial and Engineering Chemistry Research","49","9",,"4197","4209",,,"10.1021/ie900723j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953949753&doi=10.1021%2fie900723j&partnerID=40&md5=b45a7b43538e438f5d588631dde5d771","Department of Statistics, Ohio State University, Columbus, OH 43210, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Lang, L., Department of Statistics, Ohio State University, Columbus, OH 43210, United States; Goel, P.K., Department of Statistics, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Particle filtering, also known as sequential Monte Carlo (SMC) sampling, has been successfully applied to general state-space models for Bayesian inference. Being a simulation method, its performance relies to some extent on the generated samples or particles. For a poor initial guess a large fraction of particles is usually less representative of the underlying state's distribution and could even cause SMC to diverge. In this paper, an intuitive statistic, predictive density is proposed to monitor the particles' performance. When below a statistically controlled threshold value, our approach triggers smoothing for obtaining a better estimate of the initial state in the case of a poor prior. We find that combining a moving horizon smoother with SMC is very effective for recovering from a poor prior and develop an integrated practical approach that combines these two powerful tools. © 2010 American Chemical Society.",,"Bayesian inference; Initial guess; Initial state; Moving horizon; Particle Filtering; Predictive density; Sequential Monte Carlo; Simulation methods; State-space models; Bayesian networks; Inference engines; Nonlinear filtering",Article,"Final","",Scopus,2-s2.0-77953949753
"Zhang Y.I., Singh S., Bakshi B.R.","57214256783;7406400170;7004361932;","Accounting for ecosystem sewices in life cycle assessment part I: A critical review",2010,"Environmental Science and Technology","44","7",,"2232","2242",,158,"10.1021/es9021156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950447185&doi=10.1021%2fes9021156&partnerID=40&md5=30372105bde6bda7f62e5376ad6d9fb9","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States","Zhang, Y.I., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States; Singh, S., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States","If life cycle oriented methods are to encourage sustainable development, they must account for the role of ecosystem goods and services, since these form the basis of planetary activities and human well-being. This article reviews methods that are relevant to accounting for the role of nature and that could be integrated into life cycle oriented approaches. These include methods developed by ecologists for quantifying ecosystem services, by ecological economists for monetary valuation, and life cycle methods such as conventional life cycle assessment, thermodynamic methods for resource accounting such as exergy and emergy analysis, variations of the ecological footprint approach, and human appropriation of net primary productivity. Each approach has its strengths: economic methods are able to quantify the value of cultural services; LCA considers emissions and assesses their impact; emergy accounts for supporting services in terms of cumulative exergy; and ecological footprint is intuitively appealing and considers biocapacity. However, no method is able to consider all the ecosystem services, often due to the desire to aggregate all resources in terms of a single unit This review shows that comprehensive accounting for ecosystem services in LCA requires greater integration among existing methods, hierarchical schemes for interpreting results via multiple levels of aggregation, and greater understanding of the role of ecosystems in supporting human activities. These present many research opportunities that must be addressed to meet the challenges of sustainability.",,"Bio-capacity; Critical review; Ecological footprint; Ecosystem services; Emergy analysis; Existing method; Human activities; Life-cycle assessments; Monetary valuations; Multiple levels; Net primary productivity; Research opportunities; Thermodynamic methods; Economics; Exergy; Forestry; Resource valuation; Strategic planning; Sustainable development; Ecosystems; ecological economics; ecological footprint; ecosystem service; emergy; human activity; life cycle analysis; sustainable development; thermodynamics; ecological niche; economic aspect; ecosystem; environmental impact; environmental protection; human; life cycle assessment; review; sustainable development; thermodynamics; wellbeing; natural science; carbon; Carbon; Conservation of Natural Resources; Ecosystem; Humans; Nature; Thermodynamics",Review,"Final","",Scopus,2-s2.0-77950447185
"Zhang Y.I., Anil B., Bakshi B.R.","57214256783;56950720400;7004361932;","Accounting for ecosystem services in life cycle assessment part II: Toward an ecologically based LCA",2010,"Environmental Science and Technology","44","7",,"2624","2631",,160,"10.1021/es900548a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950430407&doi=10.1021%2fes900548a&partnerID=40&md5=adb06d7e368ec24763a444fa4a1ad777","William G. Lowrie Department of Chemical, Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States","Zhang, Y.I., William G. Lowrie Department of Chemical, Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States; Anil, B., William G. Lowrie Department of Chemical, Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical, Biomolecular Engineering, The Ohio State University, Columbus, Ohio 43210, United States","Despite the essential role of ecosystem goods and services in sustaining all human activities, they are often ignored in engineering decision making, even in methods that are meant to encourage sustainability. For example, conventional Life Cycle Assessment focuses on the impact of emissions and consumption of some resources. While aggregation and interpretation methods are quite advanced for emissions, similar methods for resources have been lagging, and most ignore the role of nature. Such oversight may even result in perverse decisions that encourage reliance on deteriorating ecosystem services. This article presents a step toward including the direct and indirect role of ecosystems in LCA, and a hierarchical scheme to interpret their contribution. The resulting Ecologically Based LCA (Eco-LCA) includes a large number of provisioning, regulating, and supporting ecosystem services as inputs to a life cycle model at the process or economy scale. These resources are represented in diverse physical units and may be compared via their mass, fuel value, industrial cumulative exergy consumption, or ecological cumulative exergy consumption or by normalization with total consumption of each resource or their availability. Such results at a fine scale provide insight about relative resource use and the risk and vulnerability to the loss of specific resources. Aggregate indicators are also defined to obtain indices such as renew/ability, efficiency, and return on investment An Eco-LCA model of the 1997 economy is developed and made available via the web (www.resilience.osu.edu/ecolca). An illustrative example comparing paper and plastic cups provides insight into the features of the proposed approach. The need for further work in bridging the gap between knowledge about ecosystem services and their direct and indirect role in supporting human activities is discussed as an important area for future work. © 2010 American Chemical Society.",,"Cumulative exergy consumption; Ecosystem services; Engineering decision making; Human activities; Illustrative examples; Interpretation methods; Life cycle model; Life-cycle assessments; Resource use; Return on investments; Decision making; Economics; Exergy; Forestry; Plastic containers; Profitability; Ecosystems; fossil fuel; plastic; decision making; ecosystem service; energy use; exergy; human activity; life cycle analysis; sustainable development; article; atmospheric dispersion; controlled study; ecological equipment; economic aspect; ecosystem; ecotoxicology; energy consumption; environmental sustainability; human; life cycle assessment; paper; quantitative analysis; risk assessment; soil erosion; surface property; United States; Conservation of Natural Resources; Ecosystem; Models, Chemical; Paper; Polystyrenes; Software",Article,"Final","",Scopus,2-s2.0-77950430407
"Baral A., Bakshi B.R.","12767301200;7004361932;","Thermodynamic metrics for aggregation of natural resources in life cycle analysis: Insight via application to some transportation fuels",2010,"Environmental Science and Technology","44","2",,"800","807",,58,"10.1021/es902571b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949117945&doi=10.1021%2fes902571b&partnerID=40&md5=f5a0b748ca134b7ea7af788038b85a50","William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Baral, A., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","While ethods for aggregating emissions are widely used and standardized in life cycle assessment (LCA), there is little agreement about methods for aggregating natural resources for obtaining interpretable metrics.Thermodynamic methods have been suggested including energy, exergy, and emergy analyses. This work provides insight into the nature of thermodynamic aggregation, including assumptions about substitutability between resources and loss of detailed information about the data being combined. Methods considered include calorific value or energy, industrial cumulative exergy consumption (ICEC) and its variations, and ecological cumulative exergy consumption (ECEC) or emergy. A hierarchy of metrics is proposed that spans the range from detailed data to aggregate metrics. At the fine scale, detailed data can help identify resources to whose depletion the selected product is most vulnerable. At the coarse scale, new insight is provided about thermodynamic aggregation methods. Among these, energy analysis is appropriate only for products that rely primarily on fossil fuels, and it cannot provide a useful indication of renewability. Exergy-based methods can provide results similar to energy analysis by including only nonrenewable fuels but can also account for materials use and provide a renewability index. However, ICEC and its variations do not address substitutability between resources, causing its results to be dominated by dilute and low-quality resources such as sunlight. The use of monetary values to account for substitutability does not consider many ecological resources and may not be appropriate for the analysis of emerging products. ECEC or emergy explicitly considers substitutability and resource quality and provides more intuitive results but is plagued by data gaps and uncertainties. This insight is illustrated via application to the life cycles of gasoline, diesel, corn ethanol, and soybean biodiesel. Here, aggregate metrics reveal the dilemma facing the choice of fuels: high return on investment versus high renewability. © 2010 American Chemical Society.",,"Aggregation methods; Corn-ethanol; Cumulative exergy consumption; Data gap; Emerging products; Emergy analysis; Energy analysis; Life cycle analysis; Life-cycle assessments; Low qualities; Monetary value; Non-renewable fuels; Return on investments; Transportation fuels; Economics; Energy management; Ethanol; Exergy; Fossil fuels; Profitability; Thermodynamics; Investments; alcohol; biodiesel; diesel fuel; fuel; gasoline; biofuel; emergy; exergy; life cycle; natural resource; thermodynamics; article; chemical analysis; energy; life cycle assessment; renewable energy; thermodynamics; Environmental Monitoring; Fossil Fuels; Models, Chemical; Thermodynamics; Time Factors; Vehicle Emissions; Glycine max; Zea mays",Article,"Final","",Scopus,2-s2.0-74949117945
"Baral A., Bakshi B.R.","12767301200;7004361932;","Comprehensive study of cellulosic ethanol using hybrid Eco-LCA",2010,"Bioenergy and Biofuel from Biowastes and Biomass",,,,"434","456",,2,"10.1061/9780784410899.ch19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860182566&doi=10.1061%2f9780784410899.ch19&partnerID=40&md5=1ff5dea3471434340b215033a4faaa4b","International Council on Clean Transportation, Washington, DC, United States; Ohio State University, Columbus, OH, United States","Baral, A., International Council on Clean Transportation, Washington, DC, United States; Bakshi, B.R., Ohio State University, Columbus, OH, United States",[No abstract available],,"Cellulosic ethanol",Book Chapter,"Final","",Scopus,2-s2.0-84860182566
"Khanna V., Bakshi B.R.","21742705900;7004361932;","Modeling the risks to complex industrial networks due to loss of natural capital",2009,"2009 IEEE International Symposium on Sustainable Systems and Technology, ISSST '09 in Cooperation with 2009 IEEE International Symposium on Technology and Society, ISTAS",,, 5156771,"","",,12,"10.1109/ISSST.2009.5156771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950999686&doi=10.1109%2fISSST.2009.5156771&partnerID=40&md5=d4b8f75d7f1a173c23c3c577771918b4","William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, Center for Resilience, Ohio State University, Columbus, OH 43210, United States","Khanna, V., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Center for Resilience, Ohio State University, Columbus, OH 43210, United States","Several recent events in the U.S. have highlighted the criticality and vulnerability of infrastructure systems to sudden shocks such as natural disasters, terrorist attacks, and food shortages. Proper understanding of such disruptive scenarios and their impact using holistic and integrated systems modeling techniques is crucial for effective resource allocation and disaster management. An Input-Output (IO) based framework is presented for studying the effect of sudden shocks and quantifying the associated risks on complex industrial networks. We are specifically using the IO model to understand the impact of changes in the availability of natural resources including natural capital on industrial systems. This includes understanding the potential impact of loss of services such as pollination, water scarcities, and soil fertility. The utility of the framework is highlighted using two case studies involving loss of pollination services provided by managed honeybees and reduction in the availability of crude oil. The approach is suitable for modeling the effect of sudden perturbations such as resource shortage on the complex industrial systems and identifying industrial sectors with greatest sensitivity to a given perturbation. This work is expected to complement the traditional biophysical models and methods by including the behavior of complex industrial networks under sudden shocks, quantifying the associated risks and support a decision-making framework for risk management.","Industrial sectors; Inoperability; Input-output model; Natural capital","Biophysical model; Complex industrial systems; Disaster management; Industrial networks; Industrial sector; Industrial systems; Infrastructure systems; Inoperability input-output model; Input-output; Integrated systems; Natural capital; Natural disasters; Potential impacts; Resource shortage; Soil fertility; Terrorist attacks; Water scarcity; Crude oil; Decision making; Disaster prevention; Disasters; Risk management; Technology; Industry",Conference Paper,"Final","",Scopus,2-s2.0-77950999686
"Urban R.A., Bakshi B.R.","57196789697;7004361932;","Technological-ecological networks for sustainable process design",2009,"2009 IEEE International Symposium on Sustainable Systems and Technology, ISSST '09 in Cooperation with 2009 IEEE International Symposium on Technology and Society, ISTAS",,, 5156735,"","",,1,"10.1109/ISSST.2009.5156735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950998329&doi=10.1109%2fISSST.2009.5156735&partnerID=40&md5=35c97e7ba93acce9db00439411f48e5a","William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Urban, R.A., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","In traditional process design, engineers aim to use man-made technology to solve practical problems. However, the resulting designs are often directly or indirectly dependent on ecosystem goods and services and this is often ignored. Neglecting these invaluable services has led to unsustainable practices through overexploitation of ecosystems. In addition, narrowly focusing on technological solutions unnecessarily prevents engineers from turning to nature as an option in process design. This paper proposes integrating technological systems and their corresponding ecological systems in process design. These technological-ecological networks (TEco-Nets) mimic the way nature operates by having closed material and energy streams, or in other words, ""waste = food"". Such networks would be a step towards true sustainability. However, ecological and technological systems are usually outside the area of expertise of engineers and ecologists, respectively. Therefore, integrating the two disciplines would be challenging yet potentially fruitful. In this study, the concept of TEco-Nets is illustrated through a qualitative example of a sugarcane refinery as well as quantitative case study of a residential system. The residential system example indicates that the carbon carrying capacity of the associated ecosystems is overwhelmed under traditional operating conditions. However, modifying the design of the technological and ecological systems helps alleviate this and indicates that residential systems could operate closer to sustainability in terms of carbon. This example suggests that TEco-Nets may be beneficial in larger scale industrial process design problems.","Ecosystems; Green buildings; Process design; Sustainability","Carrying capacity; Ecological networks; Ecological systems; Energy streams; Green buildings; In-process; Industrial process design; Operating condition; Overexploitation; Practical problems; Sustainable process; Technological solution; Technological system; Waste food; Design; Ecosystems; Energy conversion; Sustainable development; Technology; Process design",Conference Paper,"Final","",Scopus,2-s2.0-77950998329
"Gutowski T.G., Sekulic D.P., Bakshi B.R.","7005308432;7006342188;7004361932;","Preliminary thoughts on the application of thermodynamics to the development of sustainability criteria",2009,"2009 IEEE International Symposium on Sustainable Systems and Technology, ISSST '09 in Cooperation with 2009 IEEE International Symposium on Technology and Society, ISTAS",,, 5156699,"","",,16,"10.1109/ISSST.2009.5156699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950991506&doi=10.1109%2fISSST.2009.5156699&partnerID=40&md5=0a78749f7a866bd61ef5f4e2211e08f6","Department of Mechanical Engineering, M.I.T, Cambridge MA, 02139, United States; Department of Mechanical Engineering, University of Kentucky, Lexington, KY 40506, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Gutowski, T.G., Department of Mechanical Engineering, M.I.T, Cambridge MA, 02139, United States; Sekulic, D.P., Department of Mechanical Engineering, University of Kentucky, Lexington, KY 40506, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","In this paper we address the problem of taking the general notion of sustainability as reported in the Brundtland Report and later in Arrow et al approach and interpreting it from a thermodynamics point of view, with a goal of developing operational principles of sustainability in terms of physical principles that complement economic views.","Metrics; Sustainability; Thermodynamics","Economic views; Metrics; Operational principles; Physical principles; Sustainability criteria; Technology; Thermodynamics; Sustainable development",Conference Paper,"Final","",Scopus,2-s2.0-77950991506
"Singh S., Bakshi B.R.","7406400170;7004361932;","Eco-LCA: A tool for quantifying the role of ecological resources in LCA",2009,"2009 IEEE International Symposium on Sustainable Systems and Technology, ISSST '09 in Cooperation with 2009 IEEE International Symposium on Technology and Society, ISTAS",,, 5156706,"","",,4,"10.1109/ISSST.2009.5156770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950968762&doi=10.1109%2fISSST.2009.5156770&partnerID=40&md5=00616e1920a4eb3beb7bd67350363a62",,"Singh, S.; Bakshi, B.R.",[No abstract available],,"Ecosystem assessment; Ecosystem services; Illustrative case; Input output model; Key feature; Life-cycle assessments; Millenium; Software tool; Wellbeing; Technology; Ecosystems",Conference Paper,"Final","",Scopus,2-s2.0-77950968762
"Chen H., Bakshi B.R., Goel P.K.","12804112600;7004361932;13309362900;","Integrated estimation of measurement error with empirical process modeling-a hierarchical bayes approach",2009,"AIChE Journal","55","11",,"2883","2895",,6,"10.1002/aic.11918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350657090&doi=10.1002%2faic.11918&partnerID=40&md5=e5f36aeacc5723708f1412722a85eee8","William G. Lowrie Dept. of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Dept. of Statistics, Ohio State University, Columbus, OH 43210, United States","Chen, H., William G. Lowrie Dept. of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Dept. of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Goel, P.K., Dept. of Statistics, Ohio State University, Columbus, OH 43210, United States","Advanced empirical process modeling methods such as those used for process monitoring and data reconciliation rely on information about the nature of noise in the measured variables. Because this likelihood information is often unavailable for many practical problems, approaches based on repeated measurements or process constraints have been developed for their estimation. Such approaches are limited by data availability and often lack theoretical rigor. In this article, a novel Bayesian approach is proposed to tackle this problem. Uncertainty about the error variances is incorporated in the Bayesian framework by setting noninformative priors for the noise variances. This general strategy is used to modify the Sampling-based Bayesian Latent Variable Regression (Chen et al., J Chemom., 2007) approach, to make it more robust to inaccurate information about the likelihood functions. Different noninformative priors for the noise variables are discussed and unified in this work. The benefits of this new approach are illustrated via several case studies. © 2009 American Institute of Chemical Engineers.","Bayesian statistics; Gibbs sampling; Latent variable; Noninformative prior; Partial least squares; Principal components analysis; Regression","Bayesian statistics; Gibbs sampling; Latent variable; Noninformative prior; Partial least squares; Principal components analysis; Regression; Bayesian networks; Process monitoring; Regression analysis; Sampling; Principal component analysis",Article,"Final","",Scopus,2-s2.0-70350657090
"Urban R.A., Bakshi B.R.","57196789697;7004361932;","1,3-Propanediol from fossils versus biomass: A life cycle evaluation of emissions and ecological resources",2009,"Industrial and Engineering Chemistry Research","48","17",,"8068","8082",,51,"10.1021/ie801612p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949140781&doi=10.1021%2fie801612p&partnerID=40&md5=6ed327861d6d15ae28e511d58c33db01","William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Urban, R.A., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Despite the popularity of life cycle assessment (LCA) for understanding the broader implications of technological alternatives, it faces challenges due to difficulties in defining the analysis boundary, uncertain data, and ignoring the role of ecological goods and services. The latter natural capital is essential for sustainability but is only considered partially in conventional LCA. Accounting for ecological resources introduces the challenge of how to aggregate resources of widely varying qualities such as sunlight, wood, water, and coal. Methods based on mass, energy, and energy have been proposed and are evaluated in this work. In addition, this work aims to analyze three LCA techniques with different system boundaries: conventional process-based LCA, hybrid economic input-output LCA (EIO-LCA), and hybrid ecologically based LCA (Eco-LCA). These three methods are applied to the case study of 1, 3-propanediol (PDO) produced via fossil-based and bio-based feedstocks. The results of this study indicate that a hierarchical set of metrics can be useful for gaining insight into the role of ecosystem resources in a life cycle. Among aggregation methods, ecological cumulative exergy consumption seems to provide meaningful results, but more empirical studies are needed. It is also determined that bio-based PDO is more attractive than fossil-based PDO because of less nonrenewable resource consumption and greenhouse gas emissions. However, bio-based PDO does rely more on land, water, and fertile soil. By determining the impact of making the current PDO demand entirely from corn, it is found that the consumption of natural resources relative to national consumption is very low. While producing PDO alone from corn may have a negligible impact in terms of emissions and resource use, switching other products to bio-based will have an additive effect, increasing the strain on some ecological goods and services. These impacts should be addressed before promoting the large scale production of bio-based products. © 2009 American Chemical Society.",,"1 ,3 propanediol; Additive effects; Aggregate resources; Aggregation methods; Bio-based feedstock; Bio-based products; Cumulative exergy consumption; Empirical studies; Fertile soils; Gaining insights; Input-output; Large scale productions; Life cycle evaluations; Life-cycle assessments; National consumption; Natural capital; Non-renewable resource; Propanediols; Resource use; System boundary; Technological alternatives; Uncertain datas; Biomass; Ecology; Gas emissions; Global warming; Greenhouse gases; Leakage (fluid); Coal deposits",Article,"Final","",Scopus,2-s2.0-69949140781
"Khanna V., Bakshi B.R.","21742705900;7004361932;","Carbon nanofiber polymer composites: Evaluation of life cycle energy use",2009,"Environmental Science and Technology","43","6",,"2078","2084",,74,"10.1021/es802101x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549144955&doi=10.1021%2fes802101x&partnerID=40&md5=c80a8d8de8b56bcaed1349b458d9060d","Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Khanna, V., Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States; Bakshi, B.R., Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH 43210, United States","Holistic evaluation of emerging nanotechnologies using systems analysis is pivotal for guiding their safe and sustainable development. While toxicity studies of engineered nanomaterials are essential, understanding of the potential large scale impacts of nanotechnology is also critical for developing sustainable nanoproducts. This work evaluates the life cycle energetic impact associated with the production and use of carbon nanofiber (CNF) reinforced polymer nanocomposites (PNC). Specifically, both simple CNF and carbon nanofiber-glass fiber (CNF-GF) hybrid PNCs are evaluated and compared with steel for equal stiffness design. Life cycle inventory is developed based on published literature and best available engineering information. A cradle-to-gate comparison suggests that for equal stiffness design, CNF reinforced PNCs are 1.6-12 times more energy intensive than steel. It is anticipated that the product use phase may strongly influence whether any net savings in life cycle energy consumption can be realized. A case study involving the use of CNF and CNF-GF reinforced PNCs in the body panels of automobiles highlights that the use of PNCs with lower CNF loading ratios has the potential for net life cycle energy savings relative to steel owing to improved fuel economy benefits. Other factors such as cost, toxicity impact of CNF, and end-of-life issues specific to CNFs need to be considered to evaluate the final economic and environmental performance of CNF reinforced PNC materials. © 2009 American Chemical Society.",,"Body panels; Carbon nanofiber polymers; Economic and environmental performance; Economy benefits; End of lives; Energy consumption; Energy savings; Energy use; Engineered nanomaterials; Engineering informations; Large-scale impacts; Life cycle inventories; Loading ratios; Nanoproducts; Reinforced polymers; Use Phase; Carbon carbon composites; Carbon fibers; Carbon nanofibers; Fuel economy; Glass fibers; Nanocomposites; Nanostructured materials; Nanotechnology; Steel; Stiffness; Strategic planning; Systems analysis; Toxicity; Life cycle; carbon; nanofiber; polymer; composite; economic impact; energy use; life cycle analysis; nanotechnology; polymer; sustainable development; article; economic aspect; energy consumption; environment; life cycle; Carbon; Conservation of Energy Resources; Environment; Nanostructures; Nanotechnology; Polymers; Steel",Article,"Final","",Scopus,2-s2.0-64549144955
